id,item,barcode,code,rs,bdt
231,TOPS,1104080064BKK-0587,BKK-0587,"1,650.00",3975.00
,,,,,
232,TOPS,1104080064BKK-0588,BKK-0588,"1,650.00",3975.00
,,,,,
233,TOPS,1104080064BKK-0590,BKK-0590,"1,650.00",3975.00
,,,,,
234,TOPS,1104080064BKK-0591,BKK-0591,"1,650.00",3975.00
,,,,,
235,TOPS,1104080064BKK-0592,BKK-0592,"1,650.00",3975.00
,,,,,
236,TOPS,1104080064BKK-0593,BKK-0593,"1,650.00",3975.00
,,,,,
237,TOPS,1104080064BKK-0594,BKK-0594,"1,650.00",3975.00
,,,,,
238,TOPS,1104080064BKK-0595,BKK-0595,"1,650.00",4375.00
,,,,,
239,TOPS,1104080064BKK-0596,BKK-0596,"1,650.00",4375.00
240,TOPS,1104080064BKK-0598,BKK-0598,"1,650.00",4375.00
,,,,,
241,TOPS,1104080064BKK-0599,BKK-0599,"1,650.00",4375.00
,,,,,
242,TOPS,1104080064BKK-0602,BKK-0602,"1,650.00",4375.00
,,,,,
243,TOPS,1104080064BKK-0606,BKK-0606,"1,650.00",3850.00
,,,,,
244,TOPS,1104080064BKK-0607,BKK-0607,"1,650.00",3850.00
,,,,,
245,TOPS,1104080064BKK-0608,BKK-0608,920,2550.00
,,,,,
246,TOPS,1104080064BKK-0610,BKK-0610,"1,650.00",3250.00
,,,,,
247,TOPS,1104080064BKK-0611,BKK-0611,920,2950.00
,,,,,
248,TOPS,1104080064BKK-0618,BKK-0618,"1,650.00",5850.00
,,,,,
249,TOPS,1101100064BKK-0379,BKK-0379,0,3280.00
,,,,,
250,TOPS,1101100064BKK-0381,BKK-0381,0,3975.00
,,,,,
251,TOPS,1101100064BKK-0397,BKK-0397,0,2875.00
,,,,,
252,TOPS,1101100064BKK-0405,BKK-0405,0,1680.00
,,,,,
253,TOPS,1101100064BKK-0411,BKK-0411,0,4375.00
,,,,,
254,TOPS,1101100064BKK-0420,BKK-0420,0,2450.00
,,,,,
255,TOPS,1101100064BKK-0421,BKK-0421,0,2450.00
,,,,,
256,TOPS,1101100064BKK-0422,BKK-0422,0,2450.00
,,,,,
257,TOPS,1101100064BKK-0424,BKK-0424,0,2450.00
,,,,,
258,TOPS,1101100064BKK-0425,BKK-0425,0,2450.00
,,,,,
259,TOPS,1101100064BKK-0426,BKK-0426,0,2450.00
,,,,,
260,TOPS,1101100064BKK-0429,BKK-0429,0,4875.00
,,,,,
261,TOPS,1101100064BKK-0430,BKK-0430,0,4875.00
,,,,,
262,TOPS,1101100064BKK-0431,BKK-0431,0,4875.00
,,,,,
263,TOPS,1101100064BKK-0432,BKK-0432,0,4875.00
,,,,,
264,TOPS,1101100064BKK-0440,BKK-0440,0,4675.00
,,,,,
265,TOPS,1101100064BKK-0442,BKK-0442,0,4375.00
,,,,,
266,TOPS,1101100064BKK-0444,BKK-0444,0,5375.00
,,,,,
267,TOPS,1101100064BKK-0451,BKK-0451,0,2550.00
,,,,,
268,TOPS,1101100064BKK-0463,BKK-0463,0,4560.00
,,,,,
269,LAGINCE,1101100015BKK-0482,BKK-0482,0,2550.00
,,,,,
270,TOPS,1111170064BKK-0292,BKK-0292,0,3875.00
,,,,,
271,TOPS,1111170064BKK-0663,BKK-0663,0,4375.00
,,,,,
272,TOPS,1111170064BKK-0279,BKK-0279,0,4375.00
,,,,,
273,BLAWOS,0910210016MON-9928,MON-9928,0,5450.00
,,,,,
274,BLAWOS,0910210016MON-18,MON-18,0,8500.00
,,,,,
275,BLAWOS,0910210016MON-9923,MON-9923,0,3250.00
,,,,,
276,BLAWOS,0910210016MON-7,MON-7,0,1600.00
,,,,,
277,BLAWOS,0910210016MON-9924,MON-9924,0,4500.00
,,,,,
278,BLAWOS,0910210016MON-9932,MON-9932,0,3850.00
,,,,,
279,BLAWOS,0910210016MON-13,MON-13,0,4500.00
,,,,,
280,LADIS BAG,1002100014BNK-075,BNK-075,0,2275.00
